,question,answer
557,На какой стадии находится моя заявка на замену паспорта при достижении 45 лет? Код дела e242bc87. ,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22."
558,"Моё заявление поступило в огв, что с ним там будут делать ","Здравствуйте! Заявление вместе с пакетом документов, принятое в отделении МФЦ, передается в орган власти для рассмотрения и принятия решения по Вашему заявлению. Уточнить информацию о ходе рассмотрения дела Вы можете, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22."
559,Статус:  Выдача результатов оказания услуги (в архиве (документы выданы в МФЦ либо выдача в ведомстве).) Что значит данный статус при оформлении путинских ежемесячных выплат. Расписка №cf449431,По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22
560,"Здравствуйте, как часто нужно обновлять документы на детское пособие? ",Здравствуйте! Для получения консультации по детским пособиям рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического проживания или по телефону горячей линии: 8 (4162) 225-800.
561,Здравствуйте! Могу ли я подать заявление на предоставление льготы по транспортному налогу,"Здравствуйте! Подать данное заявление можно следующими способами:
1.    через кабинет налогоплательщика https://lkfl2.nalog.ru/lkfl/login 
2.    обратиться в МФЦ за предоставлением услуги «Прием заявления физического лица о предоставлении налоговой льготы по транспортному налогу, земельному налогу, налогу на имущество физических лиц».
Документы, которые необходимо предоставить:
- документ, удостоверяющий личность;
- документ, подтверждающий принадлежность к льготной категории.
"
562,"Здравствуйте. Подскажите пожалуйста, я подовала на выплату от3 до 7 в МФЦ, документы ушли в соцзащиту , статус поменяется или так и будет весеть ( выдача результатов окозание услуги)  в соцзащиту не дозвонишся.подовала 17 августа",Здравствуйте! Результат в МФЦ не возвращается. О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения по телефону горячей линии: 8 (4162) 225 800.
563,"Здравствуйте, я подала на пособие из материнского капитала от 1.5 до 3х лет через МФЦ, мне пришла смс,что При обработке обращения произошла ошибка, просим подать обращение повторно (Заявление о распоряжении средствами МСК на ежемесячную выплату...... Что сейчас мне делать?","Здравствуйте! Вам необходимо обратиться в отделение МФЦ, в которое Вы подавали пакет документов либо для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22."
564,"Здравствуйте! Можно ли  подать документы на выплату ежемесячного детского пособия (регионального) в размере 370,5 рублей через вас?",Здравствуйте! Для получения полной консультации рекомендуем Вам обратиться в Управление социальной защиты населения по месту Вашего фактического проживания или по телефону горячей линии: 8 (4162) 225-800
565,Здраствуйте.Можно узнать когда я смогу забрать паспорт.Номер 280002200882,"Здравствуйте! Уточнить информацию о ходе рассмотрения дела Вы можете, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22."
566,Здравствуйте. Подскажите статус дела MFC-0474/2020-240002-1 . И где посмотреть код дела?,"Здравствуйте! Уточнить информацию о ходе рассмотрения дела Вы можете, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22."
567,Что нужно чтобы отказаться от доли? ,Здравствуйте! По Вашему вопросу требуется дополнительная информация. Для получения консультации обратитесь пожалуйста по телефону регионального call-центра МФЦ: 8 (4162) 99-22-22 или по телефону горячей линии Росреестра: 8 (800) 100-34-34.
568,"Здравствуйте. Можно узнать не пришли ли документы по номеру MFC-0474/2020-21930-2? Сегодня 9 день, регистрация всегда у нас раньше срока приходила, а сейчас долго. Крайний срок 28.09. Если сегодня не придут документы, то 28 они точно уже будут? можно приходить забирать.? ","Здравствуйте! Ваше дело находится в работе у органа исполнителя. Уточнить информацию о ходе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22."
569,Здравствуйте. Как я могу подать заявление на работу в МФЦ?,Здравствуйте! Вы можете отправить свое резюме на электронную почту shtambrejs.oksana@mfc-amur.ru. 
570,Здравствуйте. Можно узнать статус дела MFC-0474/2020-21930-2,Здравствуйте! Ваше дело находиться в работе. Плановое завершение - 28.09.2020 г.
571,Узнать статус дела 2/2/145563,Здравствуйте! О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения по телефону горячей линии: 8 (4162) 225 800.
572,"Добрый день.
Разъясните, пожалуйста порядок оформления, необходимые документы для оформления квартиры на безвозмездную передачу квартиры в собственность  (приватизация на троих). 
Спасибо.","Здравствуйте! Для более подробной консультации Вам необходимо обратиться в офис МФЦ со всеми документами, которые находятся у Вас на руках либо обратиться в Администрацию за консультацией."
573,Как узнать составляется договор по делу 4/43609,Здравствуйте! Ваше дело 4/43609 находится на исполнении в Комитете по управлению имуществом.
574,Передано на рассмотрение и выдачу в огв что это значит одобрили мне детские пособия получать по уходу за ребенком,Здравствуйте! О статусе рассмотрения заявления Вы можете уточнить в Управлении социальной защиты населения по телефону горячей линии: 8 (4162) 225 800.
575,"Здравствуйте, у меня на руках есть мат капитал, и региональный. Можно ли оформить мат капитал, что бы с него выплачивали деньги каждый месяц или раз в год?","Здравствуйте! Семьям с низкими доходами, в которых с 1 января 2018 года родился или усыновлен второй ребенок, Пенсионный фонд России осуществляет ежемесячную выплату из средств материнского капитала. Выплата предоставляется до достижения ребенком возраста трех лет. Полную информацию Вы можете получить по телефону горячей линии Отделения пенсионного фонда РФ по Амурской области: 8 (4162) 202-400.
Консультацию по распоряжению региональным капиталом Вы можете получить по телефону горячей линии Управления социальной защиты населения: 8 (4162) 225-800.
"
576,Добрый день. Можно подать на детские с 3 до 7 без прописки ребёнка. Я прописана в магдагачинский районе. а живу в городе Благовещенске уже 14 лет. ,Здравствуйте! Подать на пособие от 3 до 7 можно только по регистрации места жительства (пребывания) на территории обслуживания УСЗН. 
577,Узнать статус дела 4/43609,Здравствуйте! Ваше дело 4/43609 находится на исполнении в Комитете по управлению имуществом.
578,"Здраствуйте. У меня срок продления пособия был 30иля,но всвязи с прелестей до 1октября продлили автоматически,когда мне нужно будет продлевать следующий раз.",Здравствуйте! Консультацию по продлению пособия Вы можете получить по телефону горячей линии Управления социальной защиты населения: 8 (4162) 225 800.
579,что значит статус дело приостановлено,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22"
580,Здравствуйте. Возможно ли на сегодняшний день обьявить себя банкротом обратившись в МФЦ?,"Здравствуйте! 

Внесудебная процедура банкротства через МФЦ осуществляется бесплатно. 

Для подачи заявления необходимо обратиться в МФЦ по месту жительства. 
Общая сумма долга должна составлять от 50 до 500 тыс. рублей. 
В отношении Вас должно быть окончено исполнительное производство в связи с возвращением исполнительного документа взыскателю на основании пункта 4 части 1 статьи 46 Федерального закона от 2 октября 2007 года N 229-ФЗ ""Об исполнительном производстве"" и не возбуждено иное исполнительное производство после возвращения исполнительного документа взыскателю. 

К заявлению прикладывается документ, удостоверяющий личность и список всех известных кредиторов, оформленный в соответствии с Приложением № 1 к приказу Минэкономразвития России от 05.08.2015 № 530.
Срок завершения процедуры по истечении 6 месяцев со дня включения сведений о возбуждении процедуры внесудебного банкротства. 
"
581,"Здравствуйте, можно узнать какая у нас очередь в детский сад, потеряли номер очериди","Здравствуйте! Для того чтобы проверить очередь поданного заявления, рекомендуем Вам обратиться в управление образования либо посмотреть информацию Вы можете на официальном сайте управления образования http://obrblag.info/komplektovanie-detskih-sadov/ "
582,Что значит формирование заказов пием результатов,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22."
583,Могу ли я через МФЦ получить справку от приставов о снятии обременения  выкупленной доли квартиры?,"Здравствуйте! Данная услуга в МФЦ не предоставляется. 
Информацию о наличии (отсутствии) обременения на объект недвижимости Вы можете посмотреть на официальном сайте Росреестра в информационном сервисе «Справочная информация по объектам недвижимости в режиме online» https://rosreestr.ru/wps/portal/online_request. В случае если обременение снято, Вы можете запросить выписку из ЕГРП на объект недвижимости через МФЦ.
"
584,Узнать статус дела 4/43609,Здравствуйте! Ваше дело 4/43609 находится на исполнении в Комитете по управлению имуществом. 
585,Как получить услугу предпенсионеру на бесплатный проезд в общественном транспорте? ,"Здравствуйте! Через МФЦ такая услуга не предоставляется. рекомендуем обратиться в социальную защиту. 
В МФЦ Вы можете получить справку об отнесении к категории граждан предпенсионного возраста.
"
586,Что означает статус дело в процессе оказания?,"Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке или описи, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22."
587,"Здравствуйте, оформлять пособия на ребёнка надо по прописке или по фактическому месту проживания можно подать документы? ",Здравствуйте! Место подачи документов может зависеть от вида пособий. Полную консультацию Вы можете получить по телефону горячей линии Управления социальной защиты населения: 8 (4162) 225 800.
588,Можно ли сделать у вас дарение на ребенка 1/6 часть квартиры?,Здравствуйте! По Вашему вопросу необходима дополнительная информация.  Для получения консультации Вы можете обратиться по телефону регионального колл-центра МФЦ: 8 (4162) 99 22 22 или по телефону горячей линии Росреестра 8 800 100 34 34 (звонок по России бесплатный).
589,Можно ли перепрописать совершеннолетнего человека с одного адреса на другой по доверенности на собственника жилья в которое будет прописан доверитель?,"Добрый день! Если собственник жилья не может присутствовать при предоставлении услуги, он может подтвердить свое согласие на регистрацию гражданина заявлением, заверенным нотариально. Доверенность в данном случае не требуется. Дополнительную информацию Вы можете получить по телефону регионального колл-центра МФЦ: 8/4162/ 99 22 22."
590,"Здравствуйте. Я подала заявление на оформление пособия на ребенка от 3 до 16 лет 28 августа в МФЦ. При проверке статуса дела пишет что дело в процессе оказания и по сегодняшний день 08.09.2020г. статус дела не меняется. Что это значит, что дело до сих пор в. МФЦ или оно передано в ПФР?",Добрый день! О статусе рассмотрения заявления Вы можете уточнить в Пенсионном Фонде Российской Федерации.
591,"Здравствуйте, подскажите пожалуйста что это значит
Выполнение ( фактич./ плановое в днях): 18/30 ??","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22.
В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.
"
592,"Здравствуйте, подскажите пожалуйста что это значит
Выполнение ( фактич./ плановое в днях): 18/30 ??","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22.
В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.
"
593,"Здравствуйте, подскажите пожалуйста что это значит
Выполнение ( фактич./ плановое в днях): 18/30 ??","Здравствуйте! Просим Вас уточнить номер дела, указанный в расписке, выданной в МФЦ. Также о статусе рассмотрения дела Вы можете узнать, позвонив в региональный call-центр МФЦ по номеру телефона 8 (4162) 99-22-22.
В случае, если документы подавались Вами через Единый портал государственных услуг, о готовности результата Вы можете уточнить в Органе, предоставляющем услугу.
"
594,Здравствуйте. Подскажите пожалуйста как можно оформить долевую на дом на двух хозяев? ,"Здравствуйте! По Вашему вопросу необходима дополнительная информация.  Для получения консультации Вы можете обратиться по телефону регионального колл-центра МФЦ: 8 (4162) 99 22 22 или по телефону горячей линии Росреестра 8 800 100 34 34 (звонок по России бесплатный). Также Вы можете заполнить форму ""Обратная связь"" на официальном сайте МФЦ Амурской области (https://mfc-amur.ru/about/feedback/), указав контактные данные для связи с Вами."
595,"Здраствуйте, скажите пожалуйста , когда начнут выплачивать пособия от 3 до 7?",Здравствуйте! Какой-либо результат по данной услуге в МФЦ не поступает. Рекомендуем обратиться в Управление социальной защиты населения.
596,Здравствуйте! Можно узнать я подавала заявку на получение пособия на детей с 3 до 7 лет какого будет перечисление,Здравствуйте. МФЦ данной информацией не располагает. Рекомендуем обратиться в Управление социальной защиты населения. 
597,Как выписать родственника в Зее и прописать по своему адресу,"Добрый день! Необходимо обратиться в МФЦ по месту новой регистрации, гражданину,  регистрирующемуся по месту жительства, совместно с собственниками жилого помещения. 
Примерный перечень документов, для предоставления государственной услуги:
1. Заявление (заполняется в МФЦ);
2. Документы, удостоверяющие личность;
3. Документы, подтверждающие право собственности на жилое помещение (необязательный, в случае, если права зарегистрированы в ЕГРН).

Дополнительную информацию Вы можете получить по телефону регионального колл-центра МФЦ: 8 (4162) 99 22 22"
598,"Здравствуйте. Подали заявление на временную прописку, поступило сообщение на телефон, что дело отправлено на доработку. Проверяя статус дела указано прием документов и консультирование. Направили для получения паспорта в паспортный стол, а не в Мфц. Как узнать готов ли паспорт?","Здравствуйте! Вы можете получить свой паспорт по адресу: г. Благовещенск, ул. Горького, д. 137."
599,Как подать документы на банкротство? ,"ЧТО ТАКОЕ БАНКРОТСТВО?

    Под банкротством понимается ситуация, когда человек не может платить по своим долгам. Такой человек называется должником (или банкротом), а те, кому он должен – его кредиторами.
    Институт банкротства – только для добросовестных должников. 
Если человек может платить, но не хочет – он не банкрот. 
Чтобы заставить его заплатить, кредиторы могут обратиться 
в суд и впоследствии к судебному приставу.
    Банкротство – не преступление. Оно не стыдно и не позорно. 
Оно может случиться с каждым.
    Банкротство нередко наступает не по вине должника: увольнение, болезнь, авария, смерть близких и т.п.
    Чтобы решить свои проблемы, должник и кредиторы могут инициировать процедуру банкротства.
Она может быть судебной и внесудебной. 
    Обе процедуры банкротства (судебная и внесудебная) регулируются Федеральным законом от 26 октября 2002 г. № 127-ФЗ «О несостоятельности (банкротстве)». Внесудебной процедуре в нем посвящен § 5 главы X.


Внесудебная процедура банкротства через МФЦ осуществляется бесплатно.
Общая сумма долга должна составлять от 50 до 500 тыс. рублей.
Для подачи заявления требуется Постановление об окончании исполнительного производства Длительность процедуры составляет 6 месяцев.

ОКОНЧАНИЕ ИСПОЛНИТЕЛЬНОГО ПРОИЗВОДСТВА -УСЛОВИЕ ВОЗБУЖДЕНИЯ ПРОЦЕДУРЫ ВНЕСУДЕБНОГО БАНКРОТСТВА

    Гражданин вправе инициировать процедуру внесудебного банкротства, если:
o    в отношении него окончено исполнительное производство в связи с тем, что у него отсутствует имущество, 
на которое может быть обращено взыскание 
(то есть на основании пункта 4 части 1 статьи 46 
Федерального закона от 2 октября 2007 года № 229-ФЗ 
«Об исполнительном производстве»);
o    после окончания исполнительного производства 
по указанному выше основанию в отношении гражданина 
не было возбуждено новое исполнительное производство.
    Наличие исполнительного производства, возбужденного 
до окончания другого исполнительного производства, не препятствует инициированию процедуры внесудебного банкротства.
    Информацию о наличии исполнительных производств и основании 
их окончания можно найти на сайте Федеральной службы судебных приставов www.fssp.gov.ru.


КУДА И КАК ПОДАТЬ ЗАЯВЛЕНИЕ 
О ВНЕСУДЕБНОМ БАНКРОТСТВЕ

    Заявление о внесудебном банкротстве подается должником в МФЦ 
по месту его жительства или месту его пребывания.
    Заявление подается в письменном виде по форме, утвержденной приказом Министерства экономического развития Российской Федерации от 4 августа 2020 г. № 497.
    К заявлению прилагается список всех известных должнику кредиторов, составленный по форме, утвержденной приказом Министерства экономического развития Российской Федерации 
от 5 августа 2015 г. № 530:
o    очень важно указать в нем в соответствии с формой сведения обо всех кредиторах (верные данные 
о кредиторах и обязательствах перед ними), поскольку если кредитор или обязательство не будут указаны 
в этом списке, то в отношении долга перед кредитором процедура внесудебного банкротства не будет действовать;
o    очень важно указать в нем корректные сведения о налогах, сборах и иных обязательных платежах (включая их точное наименование), поскольку в случае ошибок могут возникать споры по обязательствам;
o    очень важно указать в нем правильный размер долга (недоимки по обязательным платежам), поскольку 
при указании его в меньшем размере (по сравнению 
с реальным размером) сумма занижения не будет списана;
    МФЦ проверит соответствие заявителя установленным критериям 
и в случае подтверждения такого соответствия в течение 3 рабочих дней включит в Единый федеральный реестр сведений о банкротстве 
(далее – ЕФРСБ) сведения о возбуждении процедуры внесудебного банкротства. Посмотреть, включены ли туда такие сведения, можно 
на сайте ЕФРСБ www.fedresurs.ru. С этого момента официально начнется процедура внесудебного банкротства, которая продлится 
6 месяцев.

ЧТО ПРОИСХОДИТ ВО ВРЕМЯ ПРОЦЕДУРЫ ВНЕСУДЕБНОГО БАНКРОТСТВА

    Приостанавливается исполнение исполнительных документов 
по имущественным взысканиям с гражданина, за исключением требований:
o    которые должник не указал в прилагавшемся к его заявлению списке кредиторов;
o    о возмещении вреда, причиненного жизни или здоровью, 
о выплате заработной платы и выходного пособия, 
о возмещении морального вреда, о взыскании алиментов;
Это означает, что судебный пристав не сможет продавать имущество гражданина, а банк не сможет списывать деньги 
с его счетов.
    Прекращается начисление процентов и финансовых санкций по всем обязательствам гражданина, за исключением требований:
o    которые должник не указал в прилагавшемся 
к его заявлению списку кредиторов;
o    о возмещении вреда, причиненного жизни или здоровью, 
о выплате заработной платы и выходного пособия, 
о возмещении морального вреда, о взыскании алиментов;
    Гражданин не имеет права в ходе процедуры совершать сделки 
по получению займов, кредитов, выдаче поручительств и иные обеспечительные сделки.
    Кредитор, указанный в прилагавшемся к заявлению должника списке кредиторов, вправе направить в органы, осуществляющие государственную регистрацию или иной учет (регистрацию) запрос 
о наличии зарегистрированных (учтенных) имущества 
или имущественных прав гражданина-должника (напр., дачи 
или автомобиля).

УЛУЧШЕНИЕ ИМУЩЕСТВЕННОГО ПОЛОЖЕНИЯ ГРАЖДАНИНА – ОСНОВАНИЕ ДЛЯ ПРЕКРАЩЕНИЯ ВНЕСУДЕБНОЙ ПРОЦЕДУРЫ БАНКРОТСТВА

    Если в течение срока процедуры внесудебного банкротства 
в собственность гражданина поступит имущество (в результате оспаривания сделки, принятия наследства или получения в дар) 
или произойдет иное существенное изменение его имущественного положения, позволяющее полностью или в значительной части исполнить свои обязательства перед кредиторами, гражданин обязан 
в течение 5 рабочих дней уведомить об этом МФЦ.
    В течение 3 рабочих дней после этого МФЦ внесет в ЕФРСБ сведения о прекращении процедуры внесудебного банкротства.
    В таком случае гражданин может инициировать судебную процедуру банкротства, чтобы применить, например, процедуру реструктуризации долгов.
    Повторное инициирование процедуры внесудебного банкротства возможно будет только через 10 лет после такого прекращения.
    Если гражданин не направит указанное уведомление в МФЦ, 
то кредиторы смогут инициировать процедуру судебного банкротства. 
    После прекращения процедуры внесудебного банкротства снова будет возможно исполнительное производство и списание средств со счета в банке.


ВВЕДЕНИЕ СУДЕБНОЙ ПРОЦЕДУРЫ БАНКРОТСТВА - ОСНОВАНИЕ ДЛЯ ПРЕКРАЩЕНИЯ ВНЕСУДЕБНОЙ ПРОЦЕДУРЫ БАНКРОТСТВА

    Если в течение срока процедуры внесудебного банкротства 
в отношении гражданина будет введена судебная процедура банкротства, то внесудебная процедура будет прекращена путем внесения МФЦ сведений об этом в ЕФРСБ.
    Право инициировать судебную процедуру банкротства во время внесудебной имеет кредитор:
o    не указанный в списке кредиторов, прилагавшемся к заявлению о внесудебном банкротстве;
o    указанный в этом списке кредиторов, если имеет место любой из этих случаев:
    указание задолженности перед ним не в полном объеме, существенно влияющем на признание гражданина соответствующим критериям общего размера долга;
    обнаружение принадлежащих должнику имущества или имущественных прав, подлежащих государственной регистрации или иному учету (регистрации) (напр., дачи либо автомобиля);
    наличие вступившего в законную силу решения суда по поданному таким кредитором иску 
о признании сделки должника недействительной;
    ненаправление должником в МФЦ уведомления 
об улучшении своего имущественного положения.



ЗАВЕРШЕНИЕ ВНЕСУДЕБНОЙ ПРОЦЕДУРЫ БАНКРОТСТВА И СПИСАНИЕ ДОЛГОВ

    По истечении 6 месяцев со дня начала процедуры внесудебного банкротства МФЦ включает в ЕФРСБ сведения о ее завершении 
и с этого момента гражданин освобождается от своих долгов.
    Освобождение от долгов означает, что по этим долгам невозможно будет принудительное взыскание – пристав не сможет продавать имущество гражданина и банк не сможет списывать деньги со счета.
    Гражданин не освобождается от некоторых долгов, в частности:
o    не указанных в списке кредиторов, прилагавшемся 
к заявлению о внесудебном банкротстве;
o    возникших в период процедуры внесудебного банкротства;
o    по возмещению вреда, причиненного жизни или здоровью;
o    по выплате заработной платы и выходного пособия;
o    по возмещению морального вреда;
o    по уплате алиментов;
o    о привлечении гражданина как контролирующего лица 
к субсидиарной ответственности;
o    о возмещении гражданином убытков, причиненных им юридическому лицу, участником которого был или членом коллегиальных органов которого являлся гражданин, умышленно или по грубой неосторожности;
o    о возмещении вреда имуществу, причиненного гражданином умышленно или по грубой неосторожности.
    Гражданин не освобождается от долгов, если:
o    вступившим в законную силу судебным актом гражданин привлечен к уголовной или административной ответственности за неправомерные действия при банкротстве, преднамеренное или фиктивное банкротство;
o    доказано, что при возникновении или исполнении обязательства гражданин действовал незаконно, 
в том числе совершил мошенничество, злостно уклонился от погашения кредиторской задолженности, уклонился 
от уплаты налогов и (или) сборов с физического лица, предоставил кредитору заведомо ложные сведения 
при получении кредита, скрыл или умышленно уничтожил имущество.


НЕГАТИВНЫЕ ПОСЛЕДСТВИЯ ЗАВЕРШЕНИЯ ПРОЦЕДУРЫ ВНЕСУДЕБНОГО БАНКРОТСТВА

    После завершения в отношении гражданина процедуры внесудебного банкротства в отношении него вводится ряд ограничений и запретов:
o    в течение 5 лет он не вправе принимать на себя обязательства по кредитным договорам и (или) договорам займа без указания на факт своего банкротства.
o    в течение 3 лет он не вправе занимать должности в органах управления юридического лица, иным образом участвовать в управлении юридическим лицом;
o    в течение 10 лет он не вправе занимать должности в органах управления кредитной организации, иным образом участвовать в управлении кредитной организацией;
o    в течение 5 лет он не вправе занимать должности в органах управления страховой организации, негосударственного пенсионного фонда, управляющей компании инвестиционного фонда, паевого инвестиционного фонда и негосударственного пенсионного фонда или микрофинансовой компании, иным образом участвовать в управлении такими организациями.
    Если гражданин был исключен из единого государственного реестра индивидуальных предпринимателей менее чем за один год до подачи заявления о внесудебном банкротстве, то он в течение 5 лет
    с даты завершения процедуры внесудебного банкротства:
o    не может быть зарегистрирован в качестве индивидуального предпринимателя;
o    не вправе осуществлять предпринимательскую деятельность, а также занимать должности в органах управления юридического лица, иным образом участвовать в управлении юридическим лицом.
"
